date,close,change,change_percent,direction
2020-03-22,5816.19,-370.79,-5.9931,down
2020-03-23,6467.31,651.12,11.1950,up
2020-03-24,6744.72,277.41,4.2894,up
2020-03-25,6677.43,-67.29,-0.9977,down
2020-03-26,6737.36,59.93,0.8975,up
2020-03-27,6359.11,-378.25,-5.6142,down
2020-03-28,6236.65,-122.46,-1.9257,down
2020-03-29,5881.42,-355.23,-5.6958,down
2020-03-30,6394.38,512.96,8.7217,up
2020-03-31,6410.44,16.06,0.2512,up
2020-04-01,6642.92,232.48,3.6266,up
2020-04-02,6794.09,151.17,2.2757,up
2020-04-03,6734.10,-59.99,-0.8830,down
2020-04-04,6856.99,122.89,1.8249,up
2020-04-05,6772.78,-84.21,-1.2281,down
2020-04-06,7329.90,557.12,8.2259,up
2020-04-07,7197.32,-132.58,-1.8088,down
2020-04-08,7361.28,163.96,2.2781,up
2020-04-09,7283.54,-77.74,-1.0561,down
2020-04-10,6858.92,-424.62,-5.8299,down
2020-04-11,6876.83,17.91,0.2611,up
2020-04-12,6903.79,26.96,0.3920,up
2020-04-13,6837.91,-65.88,-0.9543,down
2020-04-14,6868.70,30.79,0.4503,up
2020-04-15,6621.24,-247.46,-3.6027,down
2020-04-16,7101.94,480.70,7.2600,up
2020-04-17,7027.55,-74.39,-1.0475,down
2020-04-18,7248.60,221.05,3.1455,up
2020-04-19,7120.74,-127.86,-1.7639,down
2020-04-20,6826.83,-293.91,-4.1275,down
2020-04-21,6841.37,14.54,0.2130,up
2020-04-22,7125.14,283.77,4.1479,up
2020-04-23,7482.39,357.25,5.0139,up
2020-04-24,7505.00,22.61,0.3022,up
2020-04-25,7538.67,33.67,0.4486,up
2020-04-26,7693.10,154.43,2.0485,up
2020-04-27,7774.62,81.52,1.0597,up
2020-04-28,7738.98,-35.64,-0.4584,down
2020-04-29,8778.57,1039.59,13.4332,up
2020-04-30,8620.00,-158.57,-1.8063,down
2020-05-01,8826.96,206.96,2.4009,up
2020-05-02,8972.05,145.09,1.6437,up
2020-05-03,8894.16,-77.89,-0.8681,down
2020-05-04,8871.96,-22.20,-0.2496,down
2020-05-05,9021.83,149.87,1.6893,up
2020-05-06,9142.92,121.09,1.3422,up
2020-05-07,9986.40,843.48,9.2255,up
2020-05-08,9800.01,-186.39,-1.8664,down
2020-05-09,9539.40,-260.61,-2.6593,down
2020-05-10,8722.77,-816.63,-8.5606,down
2020-05-11,8561.52,-161.25,-1.8486,down
2020-05-12,8810.79,249.27,2.9115,up
2020-05-13,9309.37,498.58,5.6587,up
2020-05-14,9791.98,482.61,5.1841,up
2020-05-15,9316.42,-475.56,-4.8566,down
2020-05-16,9381.27,64.85,0.6961,up
2020-05-17,9680.04,298.77,3.1848,up
2020-05-18,9733.93,53.89,0.5567,up
2020-05-19,9775.53,41.60,0.4274,up
2020-05-20,9511.43,-264.10,-2.7016,down
2020-05-21,9068.65,-442.78,-4.6552,down
